문장번호,문장내용,형태소(품사),형태소(단어만)
64,간드러지게 허리띠에 가 매달린 새 파란 염낭끈을 풉니다.,"[('간드러지다', 'Adjective'), ('허리띠', 'Noun'), ('에', 'Josa'), ('가다', 'Verb'), ('매달리다', 'Verb'), ('새', 'Noun'), ('파란', 'Noun'), ('염낭', 'Noun'), ('끈', 'Noun'), ('을', 'Josa'), ('푸다', 'Verb'), ('.', 'Punctuation')]","['간드러지다', '허리띠', '가다', '매달리다', '새', '파란', '염낭', '끈', '푸다']"
65,"""인력거 쌕이(삯이) 멫푼이당가?""
 이 이야기를 쓰고 있는 당자 역시 전라도 태생이기는 하지만","[('""', 'Punctuation'), ('인력거', 'Noun'), ('쌕', 'Noun'), ('이', 'Josa'), ('(', 'Punctuation'), ('삯', 'Noun'), ('이', 'Josa'), (')', 'Punctuation'), ('멫', 'Modifier'), ('푼', 'Noun'), ('이', 'Determiner'), ('당가', 'Noun'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('이', 'Noun'), ('이야기', 'Noun'), ('를', 'Josa'), ('쓰다', 'Verb'), ('있다', 'Adjective'), ('당자', 'Noun'), ('역시', 'Noun'), ('전라도', 'Noun'), ('태생', 'Noun'), ('이기다', 'Verb'), ('하지만', 'Conjunction')]","['인력거', '쌕', '삯', '푼', '당가', '이', '이야기', '쓰다', '있다', '당자', '역시', '전라도', '태생', '이기다']"
66,그 전라도 말이라는 게 좀 경망스럽습니다.,"[('그', 'Noun'), ('전라도', 'Noun'), ('말', 'Noun'), ('이라는', 'Josa'), ('게', 'Noun'), ('좀', 'Noun'), ('경망', 'Noun'), ('스럽다', 'Adjective'), ('.', 'Punctuation')]","['그', '전라도', '말', '게', '좀', '경망', '스럽다']"
67,"""그저 처분해 줍사요!""
 인력거꾼은 담요로 팔짱 낀 허리를 굽신합니다.","[('""', 'Punctuation'), ('그저', 'Adverb'), ('처분', 'Noun'), ('하다', 'Verb'), ('줍다', 'Verb'), ('사', 'Noun'), ('요', 'Josa'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('인력거', 'Noun'), ('꾼', 'Suffix'), ('은', 'Josa'), ('담요', 'Noun'), ('로', 'Josa'), ('팔짱', 'Noun'), ('끼다', 'Verb'), ('허리', 'Noun'), ('를', 'Josa'), ('굽다', 'Verb'), ('하다', 'Verb'), ('.', 'Punctuation')]","['처분', '하다', '줍다', '사', '인력거', '담요', '팔짱', '끼다', '허리', '굽다', '하다']"
68,좀 점잖다는 손님한테 는 항투로 쓰는 말이지만,"[('좀', 'Noun'), ('점잖다', 'Adjective'), ('손님', 'Noun'), ('한테', 'Josa'), ('늘다', 'Verb'), ('항투', 'Noun'), ('로', 'Josa'), ('쓰다', 'Verb'), ('말', 'Noun'), ('이지만', 'Josa')]","['좀', '점잖다', '손님', '늘다', '항투', '쓰다', '말']"
69,이 풍신 좋은 어른께는 진심으로 하는 소립니다.,"[('이', 'Noun'), ('풍', 'Adverb'), ('신', 'Noun'), ('좋다', 'Adjective'), ('어르다', 'Verb'), ('진심', 'Noun'), ('으로', 'Josa'), ('하다', 'Verb'), ('소립', 'Noun'), ('니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['이', '신', '좋다', '어르다', '진심', '하다', '소립', '니']"
70,후 히 생각해 달란 뜻이지요.,"[('후', 'Noun'), ('히', 'Adverb'), ('생각', 'Noun'), ('하다', 'Verb'), ('달다', 'Verb'), ('뜻', 'Noun'), ('이지', 'Noun'), ('요', 'Josa'), ('.', 'Punctuation')]","['후', '생각', '하다', '달다', '뜻', '이지']"
71,"""으응!","[('""', 'Punctuation'), ('으응', 'Adverb'), ('!', 'Punctuation')]",[]
72,그리여잉?,"[('그리다', 'Verb'), ('여잉', 'Noun'), ('?', 'Punctuation')]","['그리다', '여잉']"
73,그럼,"[('그렇다', 'Adjective')]",['그렇다']
74,"그냥 가소!""
 윤직원 영감은","[('그냥', 'Noun'), ('가소', 'Noun'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa')]","['그냥', '가소', '윤직', '영감']"
75,인력거꾼을 짯짯이 바라다보다가 고개를 돌리더니,"[('인력거', 'Noun'), ('꾼', 'Suffix'), ('을', 'Josa'), ('짯짯', 'Noun'), ('이', 'Josa'), ('바라다보다', 'Verb'), ('고개', 'Noun'), ('를', 'Josa'), ('돌리다', 'Verb')]","['인력거', '짯짯', '바라다보다', '고개', '돌리다']"
76,풀었던 염낭 끈을 도로 비끄러맵니다.,"[('풀다', 'Verb'), ('염낭', 'Noun'), ('끈', 'Noun'), ('을', 'Josa'), ('도로', 'Noun'), ('비', 'Noun'), ('끄다', 'Verb'), ('매다', 'Verb'), ('.', 'Punctuation')]","['풀다', '염낭', '끈', '도로', '비', '끄다', '매다']"
77,인력거꾼은 어쩐 영문인지를 몰라,"[('인력거', 'Noun'), ('꾼', 'Suffix'), ('은', 'Josa'), ('어쩐', 'Modifier'), ('영', 'Modifier'), ('문', 'Modifier'), ('인지', 'Noun'), ('를', 'Josa'), ('모르다', 'Verb')]","['인력거', '인지', '모르다']"
78,"두릿두릿하다가 혹시 외상인가 하고 뒤통수를 긁 적 긁 적하면서…… ""그럼","[('두', 'Determiner'), ('릿두릿', 'Noun'), ('하', 'Suffix'), ('다가', 'Noun'), ('혹시', 'Noun'), ('외상', 'Noun'), ('인가', 'Josa'), ('하다', 'Verb'), ('뒤통수', 'Noun'), ('를', 'Josa'), ('긁다', 'Verb'), ('적', 'Noun'), ('긁다', 'Verb'), ('적', 'Noun'), ('하다', 'Verb'), ('……', 'Punctuation'), ('""', 'Punctuation'), ('그렇다', 'Adjective')]","['릿두릿', '다가', '혹시', '외상', '하다', '뒤통수', '긁다', '적', '긁다', '적', '하다', '그렇다']"
79,"내일 오랍쇼니까?""
 ""내일?","[('내일', 'Noun'), ('오랍쇼', 'Noun'), ('니까', 'Josa'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('내일', 'Noun'), ('?', 'Punctuation')]","['내일', '오랍쇼', '내일']"
80,"내일 무엇허러 올랑가?""
 윤직원 영감은 지금 심정이 약간 좋지 못한 일이 있는데","[('내일', 'Noun'), ('무엇', 'Noun'), ('허다', 'Verb'), ('오다', 'Verb'), ('가다', 'Verb'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa'), ('지금', 'Noun'), ('심정', 'Noun'), ('이', 'Josa'), ('약간', 'Noun'), ('좋다', 'Adjective'), ('못', 'Noun'), ('한', 'Josa'), ('일이', 'Modifier'), ('있다', 'Adjective')]","['내일', '무엇', '허다', '오다', '가다', '윤직', '영감', '지금', '심정', '약간', '좋다', '못', '있다']"
81,가뜩이나 긴 찮이 잔말을 씹힌대서 저으기 안색이 변합니다.,"[('가뜩이나', 'Noun'), ('기다', 'Verb'), ('찮', 'Noun'), ('이', 'Josa'), ('잔말', 'Noun'), ('을', 'Josa'), ('씹히다', 'Verb'), ('대서', 'Noun'), ('저으기', 'Noun'), ('안색', 'Noun'), ('이', 'Josa'), ('변하다', 'Adjective'), ('.', 'Punctuation')]","['가뜩이나', '기다', '찮', '잔말', '씹히다', '대서', '저으기', '안색', '변하다']"
82,그러나 이편 인력거꾼으로 당하고 보면,"[('그러나', 'Conjunction'), ('이편', 'Noun'), ('인력거', 'Noun'), ('꾼', 'Suffix'), ('으로', 'Josa'), ('당하다', 'Adjective'), ('보다', 'Verb')]","['이편', '인력거', '당하다', '보다']"
83,무엇하러 오다니,"[('무엇', 'Noun'), ('하다', 'Verb'), ('오다', 'Verb')]","['무엇', '하다', '오다']"
84,외상 준 인력거 삯 받으러 오지요라는 것이지만,"[('외상', 'Noun'), ('준', 'Noun'), ('인력거', 'Noun'), ('삯', 'Noun'), ('받다', 'Verb'), ('오지', 'Noun'), ('요', 'Noun'), ('라는', 'Josa'), ('것', 'Noun'), ('이지만', 'Josa')]","['외상', '준', '인력거', '삯', '받다', '오지', '요', '것']"
85,어디 무엄스럽게 그런 말을 똑바로 대고 하는 수야 있나요.,"[('어디', 'Noun'), ('무엄', 'Noun'), ('스럽게', 'Josa'), ('그렇다', 'Adjective'), ('말', 'Noun'), ('을', 'Josa'), ('똑바로', 'Noun'), ('대고', 'Noun'), ('하다', 'Verb'), ('수야', 'Noun'), ('있다', 'Adjective'), ('.', 'Punctuation')]","['어디', '무엄', '그렇다', '말', '똑바로', '대고', '하다', '수야', '있다']"
86,그러니 말은 바른 대로 하지 못하고,"[('그렇다', 'Adjective'), ('말', 'Noun'), ('은', 'Josa'), ('바르다', 'Verb'), ('대로', 'Noun'), ('하다', 'Verb'), ('못', 'Noun'), ('하고', 'Josa')]","['그렇다', '말', '바르다', '대로', '하다', '못']"
87,그래 자못 난처 한판인데,"[('그렇다', 'Adjective'), ('자못', 'Noun'), ('난처', 'Noun'), ('한판', 'Noun'), ('인데', 'Josa')]","['그렇다', '자못', '난처', '한판']"
88,남의 그런 속도 몰라주고,"[('남', 'Noun'), ('의', 'Josa'), ('그렇다', 'Adjective'), ('속도', 'Noun'), ('모르다', 'Verb')]","['남', '그렇다', '속도', '모르다']"
89,윤직원 영감은 인제는 내 할 말 다아 했다는 듯이 천천히 돌아서 버리자고 합니다.,"[('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa'), ('인제', 'Noun'), ('는', 'Josa'), ('내', 'Noun'), ('하다', 'Verb'), ('말', 'Noun'), ('다', 'Noun'), ('아', 'Josa'), ('하다', 'Verb'), ('듯이', 'Noun'), ('천천히', 'Adverb'), ('돌아서다', 'Verb'), ('버리다', 'Verb'), ('자고', 'Noun'), ('하다', 'Verb'), ('.', 'Punctuation')]","['윤직', '영감', '인제', '내', '하다', '말', '다', '하다', '듯이', '돌아서다', '버리다', '자고', '하다']"
90,인력거꾼은,"[('인력거', 'Noun'), ('꾼', 'Suffix'), ('은', 'Josa')]",['인력거']
91,이러다가는 여느때도 아니요,"[('이르다', 'Verb'), ('여느', 'Modifier'), ('때', 'Noun'), ('도', 'Josa'), ('아니다', 'Adjective')]","['이르다', '때', '아니다']"
92,허파가 터질 뻔한 오늘 벌이가,"[('허파', 'Noun'), ('가', 'Josa'), ('터지다', 'Verb'), ('뻔하다', 'Adjective'), ('오늘', 'Noun'), ('벌이', 'Noun'), ('가', 'Josa')]","['허파', '터지다', '뻔하다', '오늘', '벌이']"
93,눈 멀뚱멀뚱 뜨고 그만 허사가 되지 싶어,"[('눈', 'Noun'), ('멀뚱멀뚱', 'Adverb'), ('뜨다', 'Verb'), ('그만', 'Adverb'), ('허사', 'Noun'), ('가', 'Josa'), ('되다', 'Verb'), ('싶다', 'Verb')]","['눈', '뜨다', '허사', '되다', '싶다']"
94,대체 이 어른이 어째서 이러는지는 모르겠어도,"[('대체', 'Noun'), ('이', 'Noun'), ('어른', 'Noun'), ('이', 'Josa'), ('어째서', 'Noun'), ('이르다', 'Verb'), ('모르다', 'Verb')]","['대체', '이', '어른', '어째서', '이르다', '모르다']"
95,그건 어찌 되었든지간에 좌우간 이렇게 병신스럽게 우물쭈물하고만 있을 일이 아니라고 크게 과단을 내지 않을 수가 없읍니다.,"[('그건', 'Adverb'), ('어찌', 'Noun'), ('되어다', 'Verb'), ('간', 'Noun'), ('에', 'Josa'), ('좌우간', 'Noun'), ('이렇게', 'Adverb'), ('병신', 'Noun'), ('스럽게', 'Josa'), ('우물쭈물', 'Noun'), ('하고만', 'Josa'), ('있다', 'Adjective'), ('일이', 'Modifier'), ('아니다', 'Adjective'), ('크게', 'Noun'), ('과단', 'Noun'), ('을', 'Josa'), ('내지', 'Noun'), ('않다', 'Verb'), ('수가', 'Noun'), ('없다', 'Adjective'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['어찌', '되어다', '간', '좌우간', '병신', '우물쭈물', '있다', '아니다', '크게', '과단', '내지', '않다', '수가', '없다', '읍니']"
96,"""저어","[('""', 'Punctuation'), ('저', 'Noun'), ('어', 'Suffix')]",['저']
97,삯 말씀이올습니다.,"[('삯', 'Noun'), ('말씀', 'Noun'), ('이', 'Josa'), ('오다', 'Verb'), ('.', 'Punctuation')]","['삯', '말씀', '오다']"
98,"헤…… ""크게 과단을 낸다는 게 결국은 크게 조심을 하는 것뿐입니다.","[('헤', 'Noun'), ('……', 'Punctuation'), ('""', 'Punctuation'), ('크게', 'Noun'), ('과단', 'Noun'), ('을', 'Josa'), ('내다', 'Verb'), ('게', 'Noun'), ('결국', 'Adverb'), ('은', 'Noun'), ('크게', 'Noun'), ('조심', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('것', 'Noun'), ('뿐이다', 'Adjective'), ('.', 'Punctuation')]","['헤', '크게', '과단', '내다', '게', '은', '크게', '조심', '하다', '것', '뿐이다']"
99,"""싹?""
 ""네에!""
 ""아니 여보소","[('""', 'Punctuation'), ('싹', 'Noun'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('네', 'Noun'), ('에', 'Josa'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('아니다', 'Adjective'), ('여보', 'Noun'), ('소', 'Noun')]","['싹', '네', '아니다', '여보', '소']"
100,"이 사람…… ""윤직원 영감은 더러 역정을 내어","[('이', 'Noun'), ('사람', 'Noun'), ('……', 'Punctuation'), ('""', 'Punctuation'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa'), ('더러', 'Noun'), ('역정', 'Noun'), ('을', 'Josa'), ('내다', 'Verb')]","['이', '사람', '윤직', '영감', '더러', '역정', '내다']"
101,하마 삿대질이라도 할 듯이 한 걸음 나섭니다.,"[('하마', 'Noun'), ('삿대질', 'Noun'), ('이라도', 'Josa'), ('하다', 'Verb'), ('듯이', 'Noun'), ('하다', 'Verb'), ('걸음', 'Noun'), ('나서다', 'Verb'), ('.', 'Punctuation')]","['하마', '삿대질', '하다', '듯이', '하다', '걸음', '나서다']"
102,"""……자네가 아까 날더러","[('""……', 'Punctuation'), ('자네', 'Noun'), ('가', 'Josa'), ('아깝다', 'Adjective'), ('날', 'Noun'), ('더러', 'Josa')]","['자네', '아깝다', '날']"
103,"처분대루 허라구 허잖있넝가?""
 ""네에!""
 ""그렇지?…… 그런디 거","[('처분', 'Noun'), ('대루', 'Noun'), ('허다', 'Verb'), ('구', 'Noun'), ('허다', 'Verb'), ('넝', 'Noun'), ('가', 'Josa'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('네', 'Noun'), ('에', 'Josa'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('""', 'Punctuation'), ('그렇다', 'Adjective'), ('?……', 'Punctuation'), ('그렇다', 'Adjective'), ('거', 'Noun')]","['처분', '대루', '허다', '구', '허다', '넝', '네', '그렇다', '그렇다', '거']"
104,"처분대루 허람 말은 맘대루 허람 말이 아닝가?""
 인력거꾼은 비로소 속을 알았읍니다.","[('처분', 'Noun'), ('대루', 'Noun'), ('허다', 'Verb'), ('말', 'Noun'), ('은', 'Josa'), ('맘', 'Noun'), ('대루', 'Noun'), ('허다', 'Verb'), ('말', 'Noun'), ('이', 'Josa'), ('아닝', 'Noun'), ('가', 'Josa'), ('?""', 'Punctuation'), ('\n ', 'Foreign'), ('인력거', 'Noun'), ('꾼', 'Suffix'), ('은', 'Josa'), ('비로소', 'Noun'), ('속', 'Noun'), ('을', 'Josa'), ('알다', 'Verb'), ('읍니', 'Noun'), ('다', 'Josa'), ('.', 'Punctuation')]","['처분', '대루', '허다', '말', '맘', '대루', '허다', '말', '아닝', '인력거', '비로소', '속', '알다', '읍니']"
105,알고 보니 참 기가 막힙니다.,"[('알', 'Noun'), ('고', 'Josa'), ('보다', 'Verb'), ('차다', 'Verb'), ('기', 'Noun'), ('가', 'Josa'), ('막히다', 'Verb'), ('.', 'Punctuation')]","['알', '보다', '차다', '기', '막히다']"
106,농도 할 사람이 따로 있지요.,"[('농도', 'Noun'), ('하다', 'Verb'), ('사람', 'Noun'), ('이', 'Josa'), ('따로', 'Adverb'), ('있다', 'Adjective'), ('.', 'Punctuation')]","['농도', '하다', '사람', '있다']"
107,웬만하면,"[('웬만하다', 'Adjective')]",['웬만하다']
108,허허!,"[('허허', 'Adverb'), ('!', 'Punctuation')]",[]
109,하고 한바탕 웃어젖힐 노릇이겠지만,"[('하다', 'Verb'), ('한바탕', 'Noun'), ('웃다', 'Verb'), ('젖히다', 'Verb'), ('노릇', 'Noun'), ('이겠다', 'Verb')]","['하다', '한바탕', '웃다', '젖히다', '노릇', '이겠다']"
110,점잖은 어른 앞에서 그럴 수는 없고 그래 히죽이 웃기만 합니다.,"[('점잖다', 'Adjective'), ('어른', 'Noun'), ('앞', 'Noun'), ('에서', 'Josa'), ('그렇다', 'Adjective'), ('수', 'Noun'), ('는', 'Josa'), ('없다', 'Adjective'), ('그렇다', 'Adjective'), ('히죽', 'Noun'), ('이', 'Josa'), ('웃기', 'Noun'), ('만', 'Josa'), ('하다', 'Verb'), ('.', 'Punctuation')]","['점잖다', '어른', '앞', '그렇다', '수', '없다', '그렇다', '히죽', '웃기', '하다']"
111,"""……그리서 나넌 그렇기 처분대루","[('""……', 'Punctuation'), ('그리다', 'Verb'), ('나넌', 'Noun'), ('그렇다', 'Adjective'), ('처분', 'Noun'), ('대루', 'Noun')]","['그리다', '나넌', '그렇다', '처분', '대루']"
112,응?…… 맘대루 말이네.,"[('응', 'Noun'), ('?……', 'Punctuation'), ('맘', 'Noun'), ('대루', 'Noun'), ('말', 'Noun'), ('이네', 'Josa'), ('.', 'Punctuation')]","['응', '맘', '대루', '말']"
113,맘대루 허라  구 허길래,"[('맘', 'Noun'), ('대루', 'Noun'), ('허다', 'Verb'), ('구', 'Noun'), ('허다', 'Verb')]","['맘', '대루', '허다', '구', '허다']"
114,아 인력거삯 안 주어도 갱기찮언 종 알구서,"[('아', 'Exclamation'), ('인력거', 'Noun'), ('삯', 'Noun'), ('안', 'Noun'), ('주어', 'Noun'), ('도', 'Josa'), ('갱기찮언', 'Noun'), ('종', 'Noun'), ('알구', 'Noun'), ('서', 'Josa')]","['인력거', '삯', '안', '주어', '갱기찮언', '종', '알구']"
115,"그냥 가라구 히 였지!""
 인력거꾼은 이 어른이 끝끝내 농을 하느라고 이러는가 했지만","[('그냥', 'Noun'), ('가르다', 'Verb'), ('히', 'Adverb'), ('이다', 'Verb'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('인력거', 'Noun'), ('꾼', 'Suffix'), ('은', 'Josa'), ('이', 'Noun'), ('어른', 'Noun'), ('이', 'Josa'), ('끝', 'Noun'), ('끝내', 'Noun'), ('농', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('이르다', 'Verb'), ('하다', 'Verb')]","['그냥', '가르다', '이다', '인력거', '이', '어른', '끝', '끝내', '농', '하다', '이르다', '하다']"
116,윤직원 영감의 안색이며 말씨며 조금도 그런 내색이 보이지 않습니다.,"[('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('의', 'Josa'), ('안색', 'Noun'), ('이며', 'Josa'), ('말씨', 'Noun'), ('며', 'Josa'), ('조금', 'Noun'), ('도', 'Josa'), ('그렇다', 'Adjective'), ('내색', 'Noun'), ('이', 'Josa'), ('보이지', 'Noun'), ('않다', 'Verb'), ('.', 'Punctuation')]","['윤직', '영감', '안색', '말씨', '조금', '그렇다', '내색', '보이지', '않다']"
117,"""……거참!…… 나는 벨 신통헌 인력거꾼도 다아 있다구","[('""……', 'Punctuation'), ('거참', 'Noun'), ('!……', 'Punctuation'), ('나', 'Noun'), ('는', 'Josa'), ('벨', 'Noun'), ('신통', 'Noun'), ('헌', 'Noun'), ('인력거', 'Noun'), ('꾼', 'Suffix'), ('도', 'Josa'), ('다', 'Noun'), ('아', 'Josa'), ('있다', 'Adjective')]","['거참', '나', '벨', '신통', '헌', '인력거', '다', '있다']"
118,퍽 얌전허게 부았지!,"[('퍽', 'Noun'), ('얌전허', 'Noun'), ('게', 'Josa'), ('부다', 'Adjective'), ('!', 'Punctuation')]","['퍽', '얌전허', '부다']"
119,늙은 사람이 욕본다구,"[('늙다', 'Verb'), ('사람', 'Noun'), ('이', 'Josa'), ('욕', 'Noun'), ('보다', 'Verb')]","['늙다', '사람', '욕', '보다']"
120,공으루 인력거 태다 주구 허넝 게 쟁히 기 특허다 구.,"[('공으루', 'Noun'), ('인력거', 'Noun'), ('태', 'Noun'), ('다', 'Josa'), ('주구', 'Noun'), ('허넝', 'Noun'), ('게', 'Noun'), ('쟁히', 'Noun'), ('기', 'Noun'), ('특허', 'Noun'), ('다', 'Josa'), ('구', 'Noun'), ('.', 'Punctuation')]","['공으루', '인력거', '태', '주구', '허넝', '게', '쟁히', '기', '특허', '구']"
121,이 사람아,"[('이', 'Noun'), ('사람', 'Noun'), ('아', 'Josa')]","['이', '사람']"
122,사내대장부가 그렇기 그짓말을 식은 죽 먹듯 헌담 말잉가?,"[('사', 'Modifier'), ('내', 'Modifier'), ('대장부', 'Noun'), ('가', 'Josa'), ('그렇다', 'Adjective'), ('그', 'Determiner'), ('짓말', 'Noun'), ('을', 'Josa'), ('식다', 'Verb'), ('죽', 'Noun'), ('먹듯', 'Noun'), ('허다', 'Verb'), ('말잉', 'Noun'), ('가', 'Josa'), ('?', 'Punctuation')]","['대장부', '그렇다', '짓말', '식다', '죽', '먹듯', '허다', '말잉']"
